P_raw,DO_raw,interaction_shap_value
59.2,3.4,-0.049115628
17.4,8.72,-0.48192608
14.7,10.3,0.05447483
58.7,7.0,-0.17211366
49.5,4.6,-0.045388818
19.2,8.1,-0.401289
59.6,5.5,-0.20393139
58.2,7.2,0.7814622
20.5,7.4,-0.34540147
21.9,6.5,0.10132861
58.8,0.6,-0.20475858
15.9,0.5,-0.031386375
17.1,2.5,0.064843476
20.3,9.25,-0.5659286
17.5,4.7,0.12639934
61.1,2.9,-0.3914548
62.7,6.5,0.20703775
18.9,2.4,0.09413159
13.9,6.21,-0.04070443
49.4,4.6,0.27107134
59.6,5.1,-0.24581683
16.1,2.9,0.10945654
18.8,8.9,-0.4795859
36.3,9.2,-0.48829937
35.0,10.24,0.3922658
19.2,8.0,-0.9098782
36.7,8.6,-0.25010026
59.3,3.7,-0.14739853
22.4,4.2,0.38455886
21.0,8.57,-0.3181703
59.4,5.1,-0.23430234
42.1,11.06,-2.5402179
13.2,10.8,0.21430564
17.0,2.4,0.044727325
16.1,4.4,0.035774946
19.6,8.87,-0.49547213
49.3,6.2,0.122995466
17.3,8.3,-0.52458537
58.1,7.8,-0.107305706
19.0,6.5,0.034960926
20.5,7.9,-0.3712119
54.4,2.2,-0.24972188
16.6,8.4,-0.5401138
24.0,1.9,0.21651733
39.8,8.5,-0.2258941
63.0,1.0,-0.16281164
12.9,11.1,0.21430588
19.1,8.8,-0.49137717
18.7,7.6,-0.40295136
20.4,7.9,-0.34226465
18.4,9.5,-0.28598106
49.4,6.3,-0.038220525
17.9,2.2,0.06741238
19.6,2.7,0.16193509
62.3,0.0,-0.49582994
17.5,7.5,-0.48701048
62.1,6.8,0.8688462
49.4,6.1,0.17609364
60.9,5.2,-0.66985583
20.5,6.3,0.12365943
49.5,3.3,0.047648966
20.8,7.8,-0.29364014
33.3,11.54,-0.092792034
59.5,6.2,-0.093386665
60.2,4.4,-0.7119646
17.0,8.57,-0.49779916
49.5,5.7,-0.09911844
15.8,10.1,-0.75538373
49.5,7.3,-0.27088165
19.0,10.19,-0.46859336
36.0,8.93,-0.31336212
49.6,8.0,0.6588464
30.7,7.1,-0.30992365
49.0,5.3,0.14336598
49.3,4.9,0.31055382
17.7,0.8,0.09384072
15.6,9.4,-0.26380283
