CODo_raw,DO_raw,interaction_shap_value
211.0,7.5,-0.6049367
450.0,6.8,-0.55065274
554.0,6.1,-1.0645227
334.0,5.2,0.045746982
230.0,6.3,0.09838438
616.0,3.3,-2.8183239
212.0,7.8,-0.17215085
189.0,11.54,-4.562314
429.0,6.2,-0.6970031
354.0,4.4,-0.71360826
132.0,8.57,-0.24897575
654.0,5.7,-1.0817589
68.0,10.1,-0.6646631
633.0,7.3,8.692762
135.0,10.19,-0.9895146
145.0,8.93,0.2949612
578.0,8.0,5.7374806
256.0,7.1,-0.83723193
511.0,5.3,-1.242046
558.0,4.9,-0.89381987
263.0,0.8,-0.5257981
203.0,9.4,-0.5835473
245.0,8.6,-0.28375512
208.0,8.1,-0.64898884
228.0,9.8,-1.1304597
251.0,2.0,-0.48882693
496.0,2.8,-0.47923744
548.16,3.1,-1.4676722
187.0,8.7,-0.22021043
174.0,2.2,0.19931948
156.0,9.36,0.19504201
243.0,0.0,-0.7461555
464.0,9.7,0.3111053
636.0,3.2,-1.5503712
430.0,5.6,-0.48380417
200.0,6.3,0.36217523
388.0,2.5,-0.5333343
128.0,10.47,-2.631076
654.0,3.2,-0.77559316
654.0,8.0,5.1739836
218.0,9.6,0.01393193
264.0,6.6,0.0977515
288.0,5.7,-0.018547893
189.0,11.76,-4.582454
467.0,3.3,-0.29475224
80.0,11.1,-0.5534303
298.0,4.8,-0.1718709
575.03,2.8,-1.1168652
474.0,4.2,-0.15955186
296.0,6.9,-0.847028
518.53,5.5,-1.5360372
198.0,10.34,-1.4297023
294.0,7.9,-1.1504247
177.0,9.2,0.12723005
93.0,9.6,-1.3933351
175.0,8.44,-0.29357624
475.0,6.0,-0.49071652
575.0,3.0,-1.1599092
445.0,5.2,-0.4415525
228.0,6.0,-0.00443393
266.0,1.18,-0.575692
168.0,7.1,0.34587812
572.96,5.4,-2.3662035
233.0,2.2,-0.57272905
477.0,5.5,-1.1398517
177.0,4.2,0.60816
223.0,7.3,-0.35252514
346.0,0.0,-0.7469582
185.0,4.0,0.6544985
203.0,6.7,0.33763206
618.0,4.7,-1.3854632
210.0,8.3,-0.1343962
192.0,7.9,-0.4310516
136.0,9.07,-0.3725133
156.0,2.0,0.35128844
531.0,2.9,0.12921497
239.0,9.36,-1.2270544
275.0,5.7,0.007503867
254.0,5.7,0.10595295
143.0,4.7,0.58172053
172.0,9.6,-0.54150283
170.0,9.6,-0.47305802
287.0,8.3,-0.94659585
133.0,9.68,-0.4864635
274.0,2.9,-0.19865519
228.0,8.4,-0.80856574
261.0,7.1,-0.72846556
485.0,5.8,-1.0152533
638.0,6.3,-1.2027428
508.0,3.3,-0.61496794
413.0,5.2,-0.22126529
574.0,8.0,3.705317
577.78,3.5,-1.3270552
199.0,9.5,-0.30517226
131.0,10.45,-1.4646392
89.0,11.2,-0.55936956
60.0,9.8,-0.47655153
150.0,5.1,1.5322329
499.0,3.5,-0.4860612
266.0,7.6,-1.078678
169.0,1.98,0.07548356
205.0,11.64,-2.3853889
569.0,5.0,-1.378738
487.0,2.5,0.39609838
160.0,7.0,0.01331985
210.0,1.82,-0.38467383
99.0,10.5,-2.1082299
185.0,5.7,0.8143605
232.0,8.7,-0.62954146
588.0,4.4,-1.4020377
211.0,2.9,0.09919095
485.0,5.5,-1.4183378
235.0,6.2,0.11102447
228.0,5.5,0.0725556
212.0,0.87,-0.36471605
261.0,7.9,-1.054312
469.0,7.4,-0.96010816
81.0,10.5,-0.5704119
288.0,0.0,-0.73325706
216.0,5.8,0.22824681
535.0,3.5,-0.9557735
471.0,8.7,-1.463993
182.0,10.95,-3.516727
156.0,8.3,0.1336059
266.0,6.8,0.24138507
185.0,7.88,-0.45742965
517.84,4.0,-0.7429776
241.0,3.2,-0.14613289
256.0,7.5,-0.992526
170.0,9.29,-0.4878918
206.0,8.9,-0.69660103
497.0,5.0,-2.1926112
496.0,5.9,-0.6211877
509.0,6.2,-1.0525392
652.0,6.3,-1.1537175
237.0,6.6,0.062646985
135.0,7.4,-0.6692771
135.0,8.83,-0.30003202
232.0,11.66,0.521471
157.0,6.3,0.80849063
265.0,3.5,-0.16034406
566.0,0.4,-0.2151072
274.0,7.3,-0.49459028
223.0,6.6,0.13211071
633.59,0.6,-1.4486682
545.0,2.1,-0.759078
198.0,11.62,-2.4943318
198.0,8.9,0.0007508397
301.0,6.2,0.113167286
189.0,5.6,0.9570198
237.0,2.9,-0.27821058
159.0,10.74,-2.6138835
247.0,3.1,-0.28543508
186.0,9.2,-0.22361362
289.0,8.91,-1.1471386
326.0,5.0,0.05797279
