CODo_raw,COD2i_raw,interaction_shap_value
185.0,475.0,3.4160004
517.84,1980.0,-1.590353
241.0,1324.0,-0.7947645
256.0,581.0,3.2530441
170.0,482.0,2.596963
206.0,411.0,5.2489185
497.0,587.0,-7.3163633
496.0,3126.0,1.164753
509.0,1401.0,0.88326645
652.0,2030.0,-0.7967968
237.0,440.0,4.1754084
135.0,350.0,6.7707872
135.0,411.0,7.161855
232.0,980.0,-1.0505676
157.0,391.0,6.572036
265.0,1347.0,-1.1465778
566.0,3548.0,1.0211201
274.0,333.0,6.4711084
223.0,472.0,3.7961555
633.59,1862.0,-0.012565613
545.0,1569.0,0.92892265
198.0,421.0,4.7186747
198.0,411.0,5.0090847
301.0,531.0,3.0255394
189.0,380.0,5.2018385
237.0,412.0,5.1398897
159.0,377.0,5.2335796
247.0,473.0,3.7463074
186.0,530.0,3.3386736
289.0,491.0,2.758534
326.0,661.0,7.7347484
494.0,2315.0,2.5279427
578.0,1487.0,2.1702423
140.0,485.0,3.6045585
628.0,1660.0,2.0960236
420.0,1421.0,-0.23028564
452.0,2219.0,1.4397717
618.0,2017.0,1.3513489
211.0,320.0,7.654512
240.0,469.0,3.1078997
188.0,453.0,3.9523282
189.0,490.0,2.5519695
520.6,1830.0,-0.8916187
193.0,528.0,3.6947718
180.0,340.0,7.6113405
75.0,476.0,2.6527576
210.0,415.0,4.520336
128.0,505.0,3.506917
175.0,294.0,5.507121
562.0,2576.0,0.6917362
75.0,473.0,2.6105604
160.0,460.0,3.0313559
270.0,573.0,2.700314
232.0,448.0,3.926217
398.0,257.0,-18.134663
215.0,380.0,5.592387
169.0,1228.0,-0.9303012
426.0,3214.0,3.8055115
244.0,375.0,7.7150087
78.0,264.0,4.600726
76.0,350.0,4.344223
281.0,1038.0,-1.0456374
319.0,564.0,7.595261
205.0,295.0,7.82784
198.0,329.0,7.5794673
118.0,453.0,3.7753868
123.0,510.0,3.5664215
185.0,1579.0,0.22854805
536.0,5509.0,1.1909599
230.0,405.0,4.319127
201.0,1868.0,-0.9387455
233.0,1035.0,-0.72136116
539.0,2531.0,1.3639393
185.0,339.0,6.993675
159.0,423.0,4.09264
264.0,321.0,7.167243
618.0,1533.0,0.76436234
412.0,1547.0,0.8495941
177.0,355.0,6.876837
160.0,420.0,7.040859
255.0,1355.0,-1.5539768
257.0,2474.0,-0.5489502
488.21,2252.0,2.8767986
153.0,305.0,7.6239595
186.0,385.0,5.076296
288.0,2656.0,-0.86532974
212.0,356.0,5.2005396
266.0,510.0,2.6965523
411.0,2513.0,2.7203102
176.0,364.0,5.19969
165.0,438.0,3.9256716
638.0,2651.0,0.3239994
205.0,470.0,3.7599106
247.0,407.0,7.427884
439.0,1465.0,1.7535954
195.0,352.0,5.25783
188.0,351.0,7.3470955
239.0,1220.0,-0.83660865
120.0,550.0,3.4960222
665.98,1289.0,2.6357183
196.0,504.0,3.5864882
398.0,1654.0,0.59513474
559.0,2655.0,1.5281963
89.0,559.0,3.543748
222.0,515.0,3.3783336
326.0,169.0,2.8238716
490.97,2789.0,2.3495598
204.0,526.0,3.6424265
263.0,385.0,5.4394016
247.0,1362.0,-1.043653
87.0,407.0,4.1880674
130.0,510.0,3.2731485
423.0,2312.0,2.3068752
188.0,344.0,5.402076
223.0,380.0,7.2493677
492.0,1423.0,0.5172043
332.0,506.0,7.694911
410.0,1893.0,0.46655846
