COD2i_raw,DO_raw,interaction_shap_value
360.0,8.9,0.24465394
2870.0,4.2,-0.37429884
405.0,9.17,0.24465376
1887.0,6.8,-0.6452294
484.0,7.6,0.036969066
380.0,1.4,-0.46163213
2846.0,3.3,-0.6037271
1985.0,8.1,-0.8065033
412.0,6.7,0.04262489
1542.0,0.9,0.9912412
675.0,4.4,0.15904385
424.0,0.2,-0.17484623
443.0,3.77,0.29792905
3542.0,4.1,-0.35171995
613.0,9.14,0.307868
596.0,10.2,-0.59433055
2230.0,1.9,0.86619115
426.0,5.5,0.3303373
2711.0,1.3,0.56655645
564.0,3.7,0.20974201
1227.0,4.3,0.24143402
3032.0,6.5,-0.37956953
438.0,10.48,-0.62778187
2855.0,6.3,-0.29835284
510.0,8.2,0.3382632
238.0,3.6,0.11756611
1980.0,5.3,-1.199023
420.0,6.5,0.18254673
584.0,9.0,0.3324268
331.0,2.4,-0.4574325
524.0,4.87,0.2490499
3621.0,5.3,-1.2619079
3266.0,5.3,-0.66109174
602.0,1.9,-0.3082198
2506.0,4.7,-0.4483909
1863.0,5.9,-0.5583525
382.0,7.9,0.3656603
2221.0,2.9,-0.051593363
476.0,8.2,0.30799097
175.0,3.8,0.094705224
517.0,8.94,0.31784034
1748.0,4.8,-0.40432778
2896.0,1.5,1.6588634
1643.0,5.5,-0.6350162
1369.0,5.0,0.15237775
1398.0,3.8,-0.317304
1425.0,2.3,-0.66655827
1600.0,0.8,0.78765273
324.0,3.5,0.16522002
1937.0,3.3,-0.37162998
1350.0,3.9,0.3673455
489.0,7.17,0.36792648
360.0,8.7,0.3395667
473.0,7.9,0.36792648
480.0,5.19,0.37055397
1360.0,4.5,0.12053698
1667.0,4.1,-0.4043735
1454.0,3.7,-0.37063906
2799.0,3.8,-0.25556028
524.0,10.57,-0.41578484
326.0,2.6,-0.17064631
531.0,4.73,0.28881937
1509.0,6.8,-0.40391374
402.0,9.28,0.2800449
806.0,8.98,0.33075666
364.0,8.6,0.25738293
1259.0,0.0,-0.085041285
452.0,5.6,0.22000259
360.0,8.2,0.33956635
1369.0,8.8,-0.016123772
2278.0,3.1,0.2864941
533.0,6.02,0.32603556
2236.0,5.0,-0.45438957
1557.0,6.5,-0.787361
340.0,9.5,0.2043953
4696.0,4.2,-0.7504032
473.0,7.7,0.33123744
407.0,8.1,0.08957285
1570.4,2.5,0.977531
426.0,10.84,-0.4563918
740.0,10.7,-0.29740405
2220.0,5.1,-0.73439145
1902.0,7.3,-0.56736207
850.0,8.81,0.5193262
2611.0,4.9,-0.51354456
1491.0,4.4,-0.6092783
465.0,8.1,0.3846619
1572.0,4.4,-0.42737114
1356.0,4.5,0.16465086
418.0,3.4,0.13275844
380.0,5.4,0.17307335
460.0,4.8,0.27998257
512.0,6.4,0.3166474
2855.0,2.9,0.343863
480.0,2.84,-0.05124402
682.0,10.4,-0.80705786
1563.0,5.1,-0.6415576
1982.0,6.0,-0.5463717
375.0,9.19,0.26147163
2009.0,5.2,-1.2030971
2244.0,4.6,-0.4611039
405.0,7.6,0.2726565
411.0,5.8,0.108345926
680.0,7.83,0.47783947
326.0,11.1,-0.42947364
1499.0,4.1,-0.42508304
425.0,0.0,-0.116559386
2975.0,7.2,-1.2137942
198.0,5.9,0.06524119
1260.0,4.7,0.41285348
468.0,4.0,0.13688517
307.0,6.7,0.27504468
438.0,6.5,0.24112785
516.0,8.6,0.40423393
1405.0,8.9,0.059867382
514.0,6.0,0.33706093
