theoretical_q,sample_q
-0.37048168294834893,-0.05910028949778751
-0.3683685762012445,-0.05878618068392414
-0.366257113023478,-0.05761305584330834
-0.36414728146139075,-0.05741675044562525
-0.3620390696180549,-0.05702226251656936
-0.3599324656527061,-0.05630451734425094
-0.35782745778018293,-0.056057508958115745
-0.3557240342703703,-0.055819882359784426
-0.3536221834476486,-0.05476386389276367
-0.3515218936903492,-0.05328449921486249
-0.3494231534302131,-0.05313758682427633
-0.34732595115185727,-0.05177414874022709
-0.3452302753922442,-0.051592672455212645
-0.3431361147401565,-0.049618788740972086
-0.3410434578356782,-0.04889686757534538
-0.33895229336967897,-0.042486530043068294
-0.3368626100833039,-0.04190410473564107
-0.3347743967674688,-0.041771798576955003
-0.3326876422623586,-0.04149834919935506
-0.33060233545693174,-0.04134167113573701
-0.32851846528842915,-0.039912464094947246
-0.32643602074188593,-0.03835827556825586
-0.32435499084965036,-0.0381271373950992
-0.3222753646909047,-0.03786776268371824
-0.3201971313911915,-0.03749877691098765
-0.31812028012194477,-0.037398677256133536
-0.3160448001000236,-0.036814174265158275
-0.3139706805872518,-0.0365610326984728
-0.3118979108899608,-0.03524952104741273
-0.3098264803585361,-0.035097110244681935
-0.30775637838696873,-0.03481856436894792
-0.30568759441241045,-0.03433908256839166
-0.3036201179147315,-0.034159644422834125
-0.3015539384160849,-0.03389318930371569
-0.29948904548047134,-0.033596820771382624
-0.2974254287133105,-0.03138065723156053
-0.29536307776101467,-0.03116552009379038
-0.29330198231056587,-0.03079595775971077
-0.2912421320890975,-0.030209680861906705
-0.2891835168634792,-0.030090527181632843
-0.28712612643990415,-0.0292156241130349
-0.2850699506634818,-0.028822809178337013
-0.28301497941783194,-0.028703401754100022
-0.28096120262468405,-0.02837755596325144
-0.2789086102434786,-0.027971852616680847
-0.27685719227097166,-0.027233671458894472
-0.27480693874084383,-0.026297278769167924
-0.2727578397233116,-0.026122675269512587
-0.27070988532474094,-0.02525465650610265
-0.2686630656872668,-0.02387810154350386
-0.26661737098841176,-0.022827653009532125
-0.26457279144071166,-0.022733998206678478
-0.2625293172913412,-0.02240805838727826
-0.26048693882174373,-0.022238217419110338
-0.25844564634726447,-0.021918071214651058
-0.2564054302167854,-0.02083362191317274
-0.25436628081236345,-0.020502924690917256
-0.2523281885488723,-0.020020444901001553
-0.25029114387364504,-0.019912667563376223
-0.24825513726612197,-0.019803730133355735
-0.24622015923749904,-0.019642550437685494
-0.24418620033037958,-0.01925104365310111
-0.24215325111842925,-0.01706497753946029
-0.2401213022060331,-0.016757293288967207
-0.23809034422795416,-0.016434821885193476
-0.23606036784899698,-0.016172064916553628
-0.2340313637636707,-0.015596604671330658
-0.23200332269585727,-0.015518740438670638
-0.22997623539848008,-0.015190368563415015
-0.22795009265317545,-0.014680702519922784
-0.22592488526996757,-0.014448577661236108
-0.22390060408694437,-0.01440245660378135
-0.2218772399699357,-0.014234079043601819
-0.21985478381219534,-0.011965800811871569
-0.21783322653408277,-0.01182940289497282
-0.21581255908274968,-0.011258445824155366
-0.2137927724318267,-0.01039503923401943
-0.21177385758111267,-0.01013285596250431
-0.20975580555626708,-0.009230465103201115
-0.20773860740850336,-0.008178142881895853
-0.20572225421428422,-0.006294474983575841
-0.20370673707502018,-0.005791340302199668
-0.20169204711676836,-0.005295756503396506
-0.1996781754899349,-0.005068751801902841
-0.19766511336897846,-0.0048888166088307825
-0.19565285195211476,-0.004303929815308623
-0.1936413824610252,-0.0033884096170625415
-0.1916306961405653,-0.00278991489537537
-0.18962078425847548,-0.002764255008732611
-0.18761163810509457,-0.00252029356473868
-0.1856032489930734,-0.0018446001355376515
-0.183595608257092,-0.0013415204204422217
-0.18158870725357704,0.00022179012697416691
-0.17958253736042112,0.0003300492252973912
-0.17757708997670504,0.0005597427185689008
-0.17557235652242012,0.0011850862427901282
-0.17356832843819242,0.0013775049170069434
-0.17156499718500984,0.0020042181164190804
