sample_id,f_x,Q2i,Q2mbr,P,DO,pH2i,COD2i,NH3-N2i,pHO,CODo,NH3-NO,TempO,pHMBR
598,88.91151,1.3408595,0.34431335,9.446311,1.1161472,0.9748239,-35.035973,-1.1754922,-2.1172025,-70.40464,1.4402649,-16.16501,-0.30920577
628,86.96713,-1.314973,0.41346443,10.41034,1.1879631,0.8540493,-34.965275,-2.181377,-0.27268898,-71.99392,0.34793076,-15.430162,0.45547506
1335,127.51809,0.8011022,0.63059527,0.4623035,1.6506454,0.18600063,-28.513805,-4.4079156,3.3407469,-38.046196,3.0660336,-14.755938,3.6482604
221,449.53687,0.44057974,0.5333158,4.8005066,8.540853,-1.4667559,60.475883,0.30719876,2.7685428,156.1844,6.199372,3.299956,7.996563
113,360.64127,-0.91283154,1.2730417,11.939734,1.5698826,-1.4544193,42.403435,-1.5955592,-6.9818554,131.78368,-2.982542,2.8630478,-16.720638
1142,52.89739,0.3216298,0.4159888,-12.077624,-7.968718,0.90004224,-26.646332,1.4290847,-0.34189194,-104.26943,-3.1469545,3.6194682,1.2058262
1057,99.071,0.15918458,-0.1902516,-15.302913,2.3098001,0.2579817,-21.215084,-0.5487106,-1.6214503,-67.69061,1.5479324,2.545659,-0.63684464
174,355.21716,2.2321646,0.5158539,-3.4550393,2.6572924,-1.4280214,37.78336,-1.3350344,-5.643243,137.14024,-0.75550306,3.0034661,-14.954663
782,123.19352,1.6312813,-0.0012317775,-4.893103,1.4081398,-0.51771694,-25.482859,1.1637218,-0.88431066,-52.349552,-0.46124065,3.4172423,0.70681536
601,127.95376,1.2772292,0.492959,11.542745,0.28308055,0.24056779,-34.093704,0.6936828,-2.7460132,-34.16326,0.29111645,-15.120616,-0.20032743
1031,94.688896,0.42125008,-0.001894549,-13.387372,1.8484008,-0.2301353,-28.302528,-0.6491116,-2.3332705,-53.429615,1.7029606,-9.508468,-0.8976263
1424,61.769035,-0.7712928,-0.049087457,-11.873068,-7.675809,0.39254037,-26.508608,-1.5207237,-0.4435836,-93.8828,1.7165179,1.9451172,0.983529
18,518.4913,16.69452,1.7676299,8.934139,1.7462558,-1.5931218,65.39013,22.333097,8.775777,174.62817,5.371657,4.0386124,10.947913
423,390.60898,0.5293727,-0.14114402,-5.295323,3.3426366,-0.1616256,37.972782,-0.35925838,6.3131967,140.70337,0.69938564,3.1947932,4.3544927
1472,128.15863,2.4249318,0.68392825,0.35970104,1.4068116,0.9726164,-30.544483,1.8936833,2.7027247,-53.64803,-1.4156498,1.6491957,2.216899
285,386.6848,-9.510998,2.1059968,-9.010268,-0.41044533,-2.4832644,52.405903,-3.667643,-9.961544,164.46277,-0.06472087,3.161885,0.2008256
428,355.32016,0.69139636,0.38178197,-10.881279,1.8031528,-0.34486383,42.432743,-0.1445159,3.1806297,131.66359,-18.614445,3.0831063,2.6124957
1205,125.27112,1.3315711,-0.055510517,-3.8617687,3.0445523,-0.48237994,-16.893211,-2.5471387,3.0555675,-64.78041,0.6342363,2.179257,4.190064
1274,118.60896,0.99875426,-0.20778583,-7.838465,2.3257883,0.37273553,-16.607954,-2.18153,2.6993282,-66.69075,0.330982,1.9885448,3.9630132
1509,84.72279,-0.71567446,0.042100906,-7.687989,-13.741857,1.2052308,-26.448652,-1.9876263,0.78608185,-67.39554,-1.9211518,2.7308774,0.40068832
31,550.15826,27.971228,0.9932099,14.653948,0.31568116,10.908389,66.30104,1.420084,-2.4456253,194.30518,19.27779,4.114867,12.886234
620,104.02156,0.18911979,1.1656476,11.158227,0.8485439,-0.33305892,-33.43552,3.8293962,-1.59943,-53.703873,-4.9793096,-16.350824,-2.223655
210,468.73834,5.3065166,1.696752,6.526041,9.536872,-1.5694445,61.48263,2.6672935,4.5986986,160.23558,6.2317214,3.362492,9.206736
