Date,CODMBR,Diff1,upper_threshold,lower_threshold,trend_aware_flag
2022/6/12,126,-24,43.36152,-31.36152,0
2022/6/13,138,12,43.36152,-31.36152,0
2022/6/14,153,15,43.36152,-31.36152,0
2022/6/15,159,6,43.36152,-31.36152,0
2022/6/16,140,-19,43.36152,-31.36152,0
2022/6/17,152,12,43.36152,-31.36152,0
2022/6/18,103,-49,43.36152,-31.36152,1
2022/6/19,124,21,43.36152,-31.36152,0
2022/6/20,128,4,44.36152,-30.36152,0
2022/6/21,135,7,44.36152,-30.36152,0
2022/6/22,143,8,44.36152,-30.36152,0
2022/6/23,145,2,44.36152,-30.36152,0
2022/6/24,122,-23,47.5128,-35.5128,0
2022/6/25,136,14,47.5128,-35.5128,0
2022/6/26,124,-12,45.5128,-37.5128,0
2022/6/27,145,21,48.5128,-34.5128,0
2022/6/28,121,-24,48.5128,-34.5128,0
2022/6/29,130,9,48.5128,-34.5128,0
2022/6/30,141,11,52.66408,-38.66408,0
2022/7/1,126,-15,52.66408,-38.66408,0
2022/7/2,143,17,52.66408,-38.66408,0
2022/7/3,139,-4,52.66408,-38.66408,0
2022/7/4,121,-18,52.66408,-38.66408,0
2022/7/5,135,14,52.66408,-38.66408,0
2022/7/6,126,-9,51.66408,-39.66408,0
2022/7/7,134,8,51.66408,-39.66408,0
2022/7/8,141,7,51.66408,-39.66408,0
2022/7/9,125,-16,51.66408,-39.66408,0
2022/7/10,143,18,51.66408,-39.66408,0
2022/7/11,161,18,51.66408,-39.66408,0
2022/7/12,150,-11,55.81536,-43.81536,0
2022/7/13,162,12,55.81536,-43.81536,0
2022/7/14,168,6,55.81536,-43.81536,0
2022/7/15,171,3,52.66408,-38.66408,0
2022/7/16,163,-8,51.66408,-39.66408,0
2022/7/17,145,-18,52.66408,-38.66408,0
