Date,CODMBR,resid,upper_threshold,lower_threshold,trend_aware_flag
2021/7/13,354,-3.657685885,41.87479039,-44.27549809,0
2021/7/14,365,-9.479769278,41.87479039,-44.27549809,0
2021/7/15,354,-38.20329499,41.87479039,-44.27549809,0
2021/7/16,355,-45.52433096,41.98917253,-44.16111595,1
2021/7/17,324,-55.485265,42.09867898,-44.0516095,1
2021/7/18,378,-8.144746308,34.48117408,-35.59704119,0
2021/7/19,351,-53.61866149,37.97535307,-32.1028622,1
2021/7/20,499,111.9014733,38.13649276,-31.94172251,1
2021/7/21,478,53.36724506,37.69839736,-31.50362711,1
2021/7/22,493,43.07442893,35.22136344,-29.34887256,1
2021/7/23,469,8.662211214,33.99398609,-29.23837798,0
2021/7/24,426,-13.18065287,33.87278812,-29.11718001,0
2021/7/25,440,-1.085971705,33.76229354,-27.88980266,0
2021/7/26,466,3.097385125,29.02457919,-23.15208831,0
2021/7/27,454,8.311699682,27.51472948,-21.6422386,0
2021/7/28,505,10.71339321,27.67586917,-21.48109892,0
2021/7/29,525,2.936245439,27.58972945,-21.3949592,0
2021/7/30,510,4.634596397,27.58972945,-21.3949592,0
2021/7/31,486,8.425580797,27.42858976,-21.55609889,0
2021/8/1,475,2.377804054,26.87014838,-22.11454027,0
2021/8/2,484,-5.5740555,24.8182388,-24.16644985,0
2021/8/3,460,-13.04533511,24.8182388,-24.16644985,0
2021/8/4,520,5.30301488,26.87014838,-22.11454027,0
2021/8/5,516,-0.848898284,27.42858976,-21.55609889,0
2021/8/6,507,0.325894473,26.87014838,-22.11454027,0
2021/8/7,496,6.246594605,26.9562881,-22.20067999,0
2021/8/8,485,-5.242432835,26.82537903,-22.33158905,0
2021/8/9,453,-50.80328704,24.90437852,-24.25258957,1
2021/8/10,441,-56.52879685,26.51330324,-28.2110998,1
2021/8/11,457,-71.28739789,25.52346886,-29.20093418,1
2021/8/12,460,-66.6476769,26.44358414,-30.12104947,1
2021/8/13,550,31.68460625,30.54758485,-32.24538141,1
2021/8/14,621,99.99158369,31.7223776,-31.07058866,1
2021/8/15,586,40.81539067,32.09951874,-31.4477298,1
2021/8/16,549,2.246894989,37.73581443,-34.02469103,0
2021/8/17,535,4.883332741,37.73581443,-34.02469103,0
2021/8/18,521,-8.537230421,35.98620049,-35.77430496,0
2021/8/19,505,-12.44980476,37.73581443,-34.02469103,0
2021/8/20,499,-1.838732661,37.73581443,-34.02469103,0
2021/8/21,485,-4.037592313,37.73581443,-34.02469103,0
2021/8/22,520,14.95188383,37.73581443,-34.02469103,0
2021/8/23,516,1.8555617,37.73581443,-34.02469103,0
2021/8/24,507,3.939760948,35.98620049,-35.77430496,0
2021/8/25,496,5.228335805,34.04152007,-37.71898539,0
2021/8/26,485,10.36141232,33.46719447,-41.5423791,0
2021/8/27,453,-5.082953094,33.46719447,-41.5423791,0
2021/8/28,441,0.105947762,33.46719447,-41.5423791,0
2021/8/29,457,2.950746015,35.66605412,-39.34351944,0
2021/8/30,359,-93.011663,35.66605412,-39.34351944,1
2021/8/31,346,-84.08019408,41.37111512,-41.1592196,1
2021/9/1,355,-58.27969206,43.41101575,-39.69989235,1
2021/9/2,364,-30.32513581,46.35746004,-46.14556451,0
2021/9/3,340,-39.2368721,41.74913256,-51.91503875,0
2021/9/4,347,-5.821207057,41.93603018,-53.43859023,0
2021/9/5,350,-6.598389427,42.15638984,-53.79880395,0
2021/9/6,387,4.613043905,41.65958679,-54.85636565,0
2021/9/7,375,6.544767513,40.90972099,-55.60623146,0
2021/9/8,367,6.444658054,40.60019614,-55.9157563,0
2021/9/9,351,-7.657780078,40.60019614,-55.9157563,0
2021/9/10,361,2.66201968,40.90972099,-55.60623146,0
2021/9/11,354,4.8889856,41.94987348,-55.14665234,0
2021/9/12,345,-5.751280025,42.72705585,-54.36946997,0
2021/9/13,353,-25.03383582,42.79698289,-54.29954294,0
2021/9/14,345,-18.86655539,48.48239936,-48.03355308,0
2021/9/15,366,-7.348255234,50.9199959,-45.59595654,0
2021/9/16,352,-54.56159808,52.87102013,-43.64493232,1
2021/9/17,341,-54.72226776,50.9199959,-45.59595654,1
2021/9/18,351,-51.21873429,48.48239936,-48.03355308,1
2021/9/19,521,65.4481487,48.48239936,-48.03355308,1
2021/9/20,505,14.35678922,50.9199959,-45.59595654,0
2021/9/21,499,9.426019254,48.77268605,-48.32383977,0
2021/9/22,485,0.224423138,48.03917507,-49.05735075,0
2021/9/23,520,15.7354857,48.03917507,-49.05735075,0
2021/9/24,516,71.35978948,48.03917507,-49.05735075,1
2021/9/25,507,71.01470462,48.03917507,-49.05735075,1
2021/9/26,496,17.53300854,47.74888838,-48.76706406,0
2021/9/27,485,-0.509087842,47.74888838,-48.76706406,0
2021/9/28,453,-2.602285055,48.48239936,-48.03355308,0
2021/9/29,441,5.988572715,51.49182616,-39.51468073,0
2021/9/30,457,6.85694431,42.5268939,-42.07804762,0
2021/10/1,359,-3.995370111,37.68931408,-38.70748976,0
2021/10/2,346,-4.327515639,32.09308265,-37.29765276,0
2021/10/3,355,-54.98615876,32.09308265,-37.29765276,1
2021/10/4,364,-37.83555708,30.83521495,-38.55552047,0
2021/10/5,340,-35.20259237,30.83521495,-38.55552047,0
2021/10/6,347,-14.0503762,30.83521495,-38.55552047,0
2021/10/7,350,-8.011241753,30.83521495,-38.55552047,0
2021/10/8,376,49.52856852,30.83521495,-38.55552047,1
2021/10/9,387,75.25292761,30.54312619,-38.26343171,1
2021/10/10,354,-6.572928014,30.54312619,-38.26343171,0
2021/10/11,365,-5.154387272,30.54312619,-38.26343171,0
2021/10/12,354,-3.860152762,28.42046332,-32.83102994,0
2021/10/13,355,-2.20528331,30.91922037,-30.33227289,0
2021/10/14,324,-34.57729158,30.91922037,-30.33227289,1
2021/10/15,378,5.945665693,32.23526652,-31.64831904,0
2021/10/16,351,0.293473739,34.69675269,-34.10980521,0
2021/10/17,499,123.6541035,37.02311983,-33.84216876,1
2021/10/18,478,95.2858382,38.52021646,-35.33926539,1
2021/10/19,493,124.7360426,38.52021646,-35.33926539,1
2021/10/20,469,105.5021001,37.22321466,-36.63626718,1
2021/10/21,426,80.66630326,38.52021646,-35.33926539,1
2021/10/22,376,1.590475534,40.23587961,-33.62360223,0
2021/10/23,387,44.55317389,37.3861399,-29.74917787,1
2021/10/24,354,-3.559916508,37.3861399,-29.74917787,0
2021/10/25,365,-2.354776209,38.90732698,-28.22799078,0
2021/10/26,354,-2.420424314,37.3861399,-29.74917787,0
2021/10/27,355,3.306138687,37.3861399,-29.74917787,0
2021/10/28,324,-4.607070935,36.87379757,-30.26152019,0
2021/10/29,378,3.818481016,35.32893564,-31.80638212,0
2021/10/30,351,-2.277039882,35.15813442,-31.97718335,0
2021/10/31,499,138.7405533,30.52520449,-29.10462815,1
2021/11/1,478,102.515913,30.27034124,-28.84976491,1
2021/11/2,493,130.5963339,29.17570289,-29.25049914,1
