NH3N2i_raw,DO_raw,interaction_shap_value
143.5,5.1,-0.001928974
155.6,7.3,-0.0037962971
364.0,8.81,0.0050988486
152.5,4.9,0.0012611002
366.0,4.4,-0.005301318
258.0,8.1,0.0012238212
156.0,4.4,0.0017464533
167.0,4.5,0.0022110578
242.0,3.4,-0.0034864247
256.0,5.4,0.0053076395
260.0,4.8,-0.0052768094
265.0,6.4,0.0019339016
158.6,2.9,0.0019301735
272.0,2.84,-0.007263031
249.0,10.4,0.012272786
164.2,5.1,-0.005038417
145.0,6.0,-0.00547174
226.0,9.19,0.004846841
140.0,5.2,0.0024564378
295.0,4.6,-0.014008088
228.0,7.6,0.0045315214
226.0,5.8,0.0015153803
188.0,7.83,0.0028959643
233.0,11.1,0.009784833
164.0,4.1,0.0021146405
234.0,0.0,-0.006248746
534.0,7.2,0.00089547015
105.0,5.9,0.0014072498
355.0,4.7,-0.0031545628
192.0,4.0,0.0018741582
200.0,6.7,0.0038545653
240.0,6.5,0.004712386
225.0,8.6,-0.0035099727
146.0,8.9,-0.003918642
193.0,6.0,0.0038492894
187.0,9.6,-0.008612245
260.0,6.6,0.002110024
156.9,2.8,0.0031981766
149.0,5.3,0.0033331197
185.0,3.3,0.0031994488
271.0,5.8,0.0018674401
199.0,6.0,0.0030123265
377.0,3.1,-0.00650966
241.0,3.9,-0.0038819984
251.0,6.0,0.0024340237
177.4,4.2,-0.0059766285
144.3,6.8,-0.006576307
333.0,3.3,-0.0043313187
238.0,6.9,0.0052236747
189.0,9.3,-0.0016608685
156.2,3.6,0.0032982714
143.2,7.6,-0.0064911786
166.3,5.7,0.0055914307
234.0,10.9,0.007626191
184.0,3.5,-0.0059850644
296.0,9.01,-0.0036968794
133.2,3.1,0.004208889
249.0,5.9,0.0048328517
260.0,7.9,0.0020147003
247.0,5.3,-0.0148937255
211.0,8.24,-0.0034302128
226.0,7.5,0.00038585253
199.0,5.2,0.0018480234
171.5,5.3,0.0049584536
163.0,3.4,0.0020954404
283.0,8.72,0.0068652844
141.0,10.3,-0.011269592
265.0,7.0,0.002422533
187.0,4.6,0.0038375203
235.0,8.1,0.0043963455
121.0,5.5,-0.001976941
171.0,7.2,0.007843082
