NH3NO_raw,DO_raw,interaction_shap_value
3.7,6.9,-0.004596163
7.2,5.5,-0.018185867
3.4,10.34,0.012095764
4.1,7.9,-0.0001397187
3.2,9.2,0.012533143
1.9,9.6,0.01863259
2.6,8.44,-0.0065355795
5.5,6.0,0.0076042325
7.3,3.0,-0.0019790195
2.8,5.2,-0.00076563284
3.5,6.0,-0.005223859
5.1,1.18,0.017925847
4.2,7.1,2.4333596e-05
7.8,5.4,-0.024055684
4.3,2.2,0.001824921
5.3,5.5,0.0057862587
3.8,4.2,0.0029870532
5.4,7.3,0.017110191
5.4,0.0,0.024949156
2.9,4.0,-0.0046220683
2.1,6.7,-0.0060302485
2.3,4.7,-0.0025304211
1.4,8.3,-0.0068522138
4.1,7.9,0.0009505134
2.6,9.07,0.01466655
2.6,2.0,-0.0050747246
4.7,2.9,0.004720133
4.1,9.36,-0.0076182187
7.7,5.7,0.0020664916
3.1,5.7,-0.0045504207
4.2,4.7,0.0026464472
4.5,9.6,-0.008309685
3.1,9.6,0.01219726
3.2,8.3,-0.004313698
3.2,9.68,0.0121001005
3.2,2.9,-0.0025935695
1.5,8.4,-0.00654699
2.7,7.1,-0.0053857435
7.3,5.8,0.004442498
3.5,6.3,-0.0017160475
8.7,3.3,-0.0075059496
2.0,5.2,-0.002766796
5.7,8.0,0.0067449985
2.6,3.5,-0.002663536
5.9,9.5,-0.069351636
2.8,10.45,0.019054525
1.7,11.2,0.01912447
1.5,9.8,0.019124478
1.7,5.1,-0.0032467656
7.3,3.5,-0.0030943751
4.6,7.6,0.004206443
4.6,1.98,0.0077910665
3.2,11.64,0.010684475
5.9,5.0,0.0065406635
3.4,2.5,-0.0014300793
1.9,7.0,-0.0051957406
4.3,1.82,0.0020156503
2.4,10.5,0.018396955
4.6,5.7,0.0060141077
1.8,8.7,-0.007330613
2.2,4.4,-0.0022348678
3.2,2.9,-0.0025034714
7.1,5.5,0.007846069
4.4,6.2,-0.00045308936
2.9,5.5,-0.0061385958
4.8,0.87,0.0107882805
2.1,7.9,-0.006966701
3.4,7.4,-0.0029738732
1.4,10.5,0.019306023
6.7,0.0,0.01461935
7.4,5.8,0.0029665064
5.1,3.5,0.008176254
3.3,8.7,-0.0032713963
2.2,10.95,0.018928505
3.0,8.3,-0.005344255
3.1,6.8,-0.004345405
2.3,7.88,-0.006444445
7.1,4.0,0.006720042
3.6,3.2,-0.0024853833
8.8,7.5,0.013867259
2.2,9.29,0.018942382
