P_raw,DO_raw,interaction_shap_value
17.5,4.7,-0.0010465886
61.1,2.9,-0.0022167936
62.7,6.5,0.0045918403
18.9,2.4,-0.003243979
13.9,6.21,0.0034258207
49.4,4.6,-0.0035598231
59.6,5.1,-0.007833106
16.1,2.9,-0.0066842875
18.8,8.9,0.001380092
36.3,9.2,-0.002831228
35.0,10.24,-0.0030417591
19.2,8.0,0.004281678
36.7,8.6,0.004844264
59.3,3.7,0.0021279044
22.4,4.2,-0.015179237
21.0,8.57,0.004067268
59.4,5.1,-0.0006289175
42.1,11.06,-0.0034755915
13.2,10.8,0.012481105
17.0,2.4,-0.0038157906
16.1,4.4,-0.0013620732
19.6,8.87,-0.001192129
49.3,6.2,-0.004196628
17.3,8.3,0.0015270151
58.1,7.8,-0.0024422333
19.0,6.5,0.004472466
20.5,7.9,0.0030638166
54.4,2.2,0.002313707
16.6,8.4,0.0016359184
24.0,1.9,-0.002400808
39.8,8.5,0.0044363863
63.0,1.0,-0.010622956
12.9,11.1,0.0151412785
19.1,8.8,0.0021411944
18.7,7.6,0.0036118664
20.4,7.9,0.0030638203
18.4,9.5,0.010703586
49.4,6.3,-0.0043906495
17.9,2.2,0.0020889714
19.6,2.7,-0.0035765953
62.3,0.0,-0.015526958
17.5,7.5,0.0032112822
62.1,6.8,0.00898061
49.4,6.1,-0.0031230832
60.9,5.2,-0.006131701
20.5,6.3,0.0029973648
49.5,3.3,0.0030291304
20.8,7.8,0.0028363504
33.3,11.54,-0.0019575506
59.5,6.2,-0.0056932997
60.2,4.4,-0.0053301286
17.0,8.57,0.0028000828
49.5,5.7,-0.0018903017
15.8,10.1,0.0070431307
49.5,7.3,-0.0052966475
19.0,10.19,0.0053232796
36.0,8.93,0.0026723742
49.6,8.0,-0.005620884
30.7,7.1,0.0073432513
49.0,5.3,-0.00055624545
49.3,4.9,0.0025355355
17.7,0.8,-0.0034813099
15.6,9.4,0.007556796
15.9,8.6,0.0014115442
62.3,8.1,0.023122575
20.2,9.8,0.0051859096
59.6,2.0,-0.007635545
49.4,2.8,0.0005342178
61.4,3.1,-0.0032735635
17.1,8.7,0.0023668688
17.1,2.2,-0.0043828655
18.4,9.36,0.0022408217
19.6,0.0,-0.0036691725
68.1,9.7,0.000517115
67.8,3.2,-0.00044166297
58.9,5.6,-0.0039469157
20.2,6.3,0.0048017316
60.3,2.5,-0.00456903
24.1,10.47,-0.0044968873
54.3,3.2,0.0035393387
58.3,8.0,0.0064663948
17.0,9.6,0.006071575
17.8,6.6,0.003736714
18.8,5.7,0.005273085
41.8,11.76,6.86273e-05
60.8,3.3,-0.003711816
12.9,11.1,0.012366202
63.5,4.8,-0.0011722515
41.0,2.8,-0.022572756
52.8,4.2,0.0035866424
65.2,6.9,0.003915062
30.6,5.5,0.013953974
29.2,10.34,-0.006160319
19.2,7.9,0.004625502
18.5,9.2,0.004426729
15.9,9.6,0.007515341
16.8,8.44,0.0015839515
60.0,6.0,-0.00900251
60.4,3.0,-0.003595911
48.9,5.2,0.036524206
21.8,6.0,0.008276028
17.9,1.18,-0.0020048767
17.8,7.1,0.0051789386
48.9,5.4,0.01639931
16.5,2.2,-0.0046877246
60.4,5.5,-0.009609088
19.7,4.2,-0.0019873753
17.0,7.3,0.0023280717
60.2,0.0,-0.017596707
36.3,4.0,-0.00072189607
61.9,6.7,0.014998969
49.5,4.7,0.0026594605
37.5,8.3,0.004844263
18.4,7.9,0.0029489193
27.3,9.07,0.005585544
15.9,2.0,-0.0049745403
63.0,2.9,-0.00092149153
30.7,9.36,-0.008057207
59.2,5.7,0.00045241136
19.2,5.7,0.005136463
19.4,4.7,-0.00044053234
16.5,9.6,0.004279956
17.0,9.6,0.009097226
21.8,8.3,0.007878436
29.4,9.68,0.0005937815
20.3,2.9,-0.005740514
39.1,8.4,0.004436385
63.3,7.1,0.004563513
61.1,5.8,0.003323253
49.4,6.3,-0.004827589
49.1,3.3,0.0014190264
59.8,5.2,-0.0047352053
57.9,8.0,0.004119868
38.5,3.5,-0.010768468
16.2,9.5,0.008002169
20.7,10.45,0.012424443
12.8,11.2,0.012497224
16.4,9.8,0.0071773753
59.5,5.1,0.00084749795
49.4,3.5,0.0038810335
19.2,7.6,0.0025120713
20.2,1.98,-0.001264831
38.2,11.64,-0.0030184314
49.4,5.0,0.0023622168
22.4,2.5,-0.028490335
59.3,7.0,-0.0013642646
20.4,1.82,-0.0027755313
16.1,10.5,0.01514408
16.0,5.7,0.0058077807
36.8,8.7,0.0047288137
49.6,4.4,0.0029835626
16.7,2.9,-0.0066915285
61.0,5.5,-0.0068173744
68.0,6.2,0.005204181
38.7,5.5,0.008390876
19.6,0.87,-0.002940666
38.0,7.9,0.0050317086
61.5,7.4,0.020076532
15.2,10.5,0.01183233
19.5,0.0,-0.0035876967
58.6,5.8,0.0007518735
49.2,3.5,0.0026224237
58.6,8.7,0.0043457244
23.6,10.95,-0.0020840093
18.2,8.3,0.0021339525
60.0,6.8,0.0062891617
19.9,7.88,0.002626853
29.9,4.0,-0.007189175
21.1,3.2,0.0009416491
17.1,7.5,0.009740982
20.3,9.29,0.005016893
37.5,8.9,0.0048751887
59.9,5.0,-0.00411018
49.1,5.9,-0.0039726906
58.3,6.2,-0.006986861
49.3,6.3,-0.0048117824
16.7,6.6,0.002302615
62.8,7.4,0.016868608
24.4,8.83,0.0052211815
21.7,11.66,-0.008533649
62.9,6.3,0.004327556
19.9,3.5,-0.004054049
49.1,0.4,0.0049291328
17.2,7.3,0.0023128754
20.7,6.6,0.0040570926
49.4,0.6,0.009092607
55.1,2.1,0.0026502162
37.7,11.62,-0.008278079
14.9,8.9,-0.002861388
60.4,6.2,0.011998085
17.8,5.6,0.003913231
36.3,2.9,-0.0016391389
20.2,10.74,0.010111131
39.0,3.1,-0.0010426827
17.6,9.2,0.00268732
16.6,8.91,-0.0024929568
59.7,5.0,-0.0028086177
49.0,5.3,-0.0024945834
54.1,0.8,0.002834335
17.7,9.36,0.0022480637
60.8,3.6,-0.0039178394
59.6,2.3,-0.00082683377
60.7,4.2,-0.003782535
49.5,4.6,0.0027130917
17.1,0.9,-0.003399711
18.8,6.2,0.004350316
16.7,1.9,0.0052063465
17.3,8.44,0.001912035
22.4,7.0,0.021919023
15.8,7.7,-0.004030658
17.9,7.9,0.0027075065
16.0,9.9,0.007531479
63.2,5.9,-0.003246515
27.8,10.64,-0.0044112727
17.6,4.0,-0.0027149022
49.1,4.2,0.0043919273
16.4,10.4,0.015125163
22.0,8.96,0.0020543635
21.3,9.23,-0.0065151155
37.8,6.0,0.008058176
59.9,2.8,-0.0010591988
58.9,3.9,0.00044330955
20.3,8.76,0.0019235574
60.1,5.8,0.00070857443
59.1,1.7,0.00015301071
8.2,11.2,0.02417175
14.1,11.2,0.012366209
21.4,6.1,0.01169732
59.5,4.9,-0.0018765538
59.4,5.5,0.00025502406
21.7,8.77,0.0071183518
23.3,9.48,-0.0020017102
17.4,11.5,0.012818206
16.5,6.4,0.0027561663
29.9,4.1,-0.009429384
35.9,8.7,0.00517908
16.3,9.0,0.0037886798
19.7,3.9,-0.0033255368
38.5,3.8,-0.01690793
69.7,4.9,1.9838102e-05
37.7,11.13,-0.0019575655
56.4,6.4,-0.0009984896
67.7,1.0,-0.009307668
49.4,5.4,-0.0006757052
65.3,3.4,0.00018277578
