NH3NO_raw,NH3N2i_raw,interaction_shap_value
4.2,534.0,0.0095783025
3.9,105.0,0.009669153
3.9,355.0,0.0052813664
3.2,192.0,-0.005409792
4.5,200.0,-0.0049271006
3.7,240.0,0.01304801
2.2,225.0,0.00830595
4.7,146.0,0.006617424
2.2,193.0,-0.0063404622
5.2,187.0,-0.0058599412
3.9,260.0,0.00974074
5.3,156.9,0.0018649611
4.3,149.0,0.0049617765
3.7,185.0,0.00071084034
2.0,271.0,0.030094802
3.9,199.0,-0.0052032303
6.1,377.0,0.0007397607
2.4,241.0,0.020319449
3.9,251.0,0.0019653328
6.7,177.4,0.011288813
5.8,144.3,0.0033499263
3.0,333.0,0.009540871
3.9,238.0,0.0030358657
3.3,189.0,-0.003633846
2.3,156.2,-0.0045890706
2.6,143.2,-0.00818154
8.6,166.3,-0.020273343
2.2,234.0,0.026336152
7.01,184.0,0.017287327
2.1,296.0,0.033559915
4.4,133.2,0.0041286573
2.6,249.0,0.015581027
2.8,260.0,0.022859795
3.9,247.0,0.03893158
2.6,211.0,-0.0036339564
4.1,226.0,-0.0039468943
4.1,199.0,-0.005695696
4.5,171.5,6.2908744e-05
6.2,163.0,-0.0018515685
6.8,283.0,-0.027219947
1.6,141.0,-0.008328803
2.6,265.0,0.020000368
3.2,187.0,-0.005906756
3.2,235.0,0.013136167
16.2,121.0,0.090171814
5.37,171.0,-0.005840166
4.1,280.0,0.0086895265
4.0,213.0,-0.005206501
9.7,219.0,0.036870245
5.4,294.0,-0.0048896037
2.9,237.0,0.015956327
3.3,223.0,-0.00414428
4.0,190.0,-0.0034353677
6.4,390.0,-0.0097626895
3.1,145.0,0.0034358525
6.9,295.0,-0.033735972
2.8,198.0,-0.002649959
12.8,156.6,-0.019545887
4.3,136.0,0.004283214
3.2,274.0,0.01890834
3.3,282.0,0.01957389
1.9,189.0,-0.0038599148
2.9,189.0,-0.00045426562
4.6,788.0,-0.0066330135
2.3,186.0,-0.0007357467
3.6,89.0,0.011188043
2.5,156.6,-0.0020788785
2.4,208.0,-0.0041183336
2.1,213.0,0.0071581276
2.8,254.0,0.016121678
