Date,CODMBR,Diff1,Hampel,STL,Wavelet-strong
2021/7/15,354,0,0,0,0
2021/7/16,355,0,0,1,0
2021/7/17,324,0,0,1,0
2021/7/18,378,0,0,0,0
2021/7/19,351,0,0,1,0
2021/7/20,499,1,0,1,1
2021/7/21,478,0,0,1,0
2021/7/22,493,0,0,1,0
2021/7/23,469,0,0,0,0
2021/7/24,426,0,0,0,0
2021/7/25,440,0,0,0,0
2021/7/26,466,0,0,0,0
2021/7/27,454,0,0,0,0
2021/7/28,505,0,0,0,0
2021/7/29,525,0,0,0,0
2021/7/30,510,0,0,0,0
2021/7/31,486,0,0,0,0
2021/8/1,475,0,0,0,0
2021/8/2,484,0,0,0,0
2021/8/3,460,0,0,0,0
2021/8/4,520,1,0,0,0
2021/8/5,516,0,0,0,0
2021/8/6,507,0,0,0,0
2021/8/7,496,0,0,0,0
2021/8/8,485,0,0,0,0
2021/8/9,453,0,0,1,0
2021/8/10,441,0,0,1,0
2021/8/11,457,0,0,1,0
2021/8/12,460,0,0,1,0
2021/8/13,550,1,0,1,0
2021/8/14,621,1,1,1,0
2021/8/15,586,0,0,1,0
2021/8/16,549,0,0,0,0
2021/8/17,535,0,0,0,0
2021/8/18,521,0,0,0,0
2021/8/19,505,0,0,0,0
2021/8/20,499,0,0,0,0
2021/8/21,485,0,0,0,0
2021/8/22,520,1,0,0,0
2021/8/23,516,0,0,0,0
2021/8/24,507,0,0,0,0
2021/8/25,496,0,0,0,0
2021/8/26,485,0,0,0,0
2021/8/27,453,0,0,0,0
2021/8/28,441,0,0,0,0
2021/8/29,457,0,0,0,1
2021/8/30,359,1,0,1,0
2021/8/31,346,0,0,1,0
2021/9/1,355,0,0,1,0
2021/9/2,364,0,0,0,0
2021/9/3,340,0,0,0,0
2021/9/4,347,0,0,0,0
2021/9/5,350,0,0,0,0
2021/9/6,387,0,0,0,0
2021/9/7,375,0,0,0,0
2021/9/8,367,0,0,0,0
2021/9/9,351,0,0,0,0
2021/9/10,361,0,0,0,0
2021/9/11,354,0,0,0,0
2021/9/12,345,0,0,0,0
2021/9/13,353,0,0,0,0
2021/9/14,345,0,0,0,0
2021/9/15,366,0,0,0,0
2021/9/16,352,0,0,1,0
2021/9/17,341,0,0,1,0
2021/9/18,351,0,0,1,1
2021/9/19,521,1,0,1,1
2021/9/20,505,0,0,0,0
2021/9/21,499,0,0,0,0
2021/9/22,485,0,0,0,0
2021/9/23,520,1,0,0,0
2021/9/24,516,0,0,1,0
2021/9/25,507,0,0,1,0
2021/9/26,496,0,0,0,0
2021/9/27,485,0,0,0,0
2021/9/28,453,0,0,0,0
2021/9/29,441,0,0,0,0
2021/9/30,457,0,0,0,1
