theoretical_q,sample_q
-0.02664841485982017,0.004155217250243857
-0.024674041534499667,0.004304055045690022
-0.022699764387703335,0.006202995357279684
-0.02072557571549441,0.006371757040380324
-0.0187514678163515,0.007283280295569091
-0.016777432990957616,0.008207951788160977
-0.014803463541989303,0.013769971748838636
-0.012829551773907384,0.014079721340603745
-0.010855689992745676,0.01720409056236727
-0.008881870505901944,0.019790800612679935
-0.006908085621927542,0.02281595316738591
-0.0049343276503171435,0.02690822034304037
-0.0029605889012997858,0.027875365260516097
-0.0009868616856287178,0.028903911407694056
0.0009868616856285786,0.03451476798551113
0.0029605889012997858,0.035274494103408084
0.0049343276503171435,0.035933691250076824
0.006908085621927542,0.036923711689721084
0.008881870505902084,0.03824475019301347
0.010855689992745537,0.04021537090810086
0.012829551773907245,0.04166622907377584
0.014803463541989303,0.04180157830509802
0.016777432990957616,0.043011248343199054
0.01875146781635164,0.043946871553254205
0.02072557571549455,0.05111359613231134
0.022699764387703197,0.05145340869822511
0.024674041534499667,0.0566424536704597
0.02664841485982017,0.05765231404196561
0.028622892070226863,0.0580973257777344
0.030597480875118536,0.06169191582207746
0.03257218898694145,0.06398665306826175
0.034547024121401745,0.0652419995880238
0.036521993997675424,0.06756317643327926
0.03849710633862122,0.06848031239184542
0.0404723688709924,0.06852260961274181
0.04244778932564889,0.07087907572512447
0.044423375437770994,0.07121724820529199
0.04639913494707066,0.07594983463016351
0.048375075598005926,0.07653402129450933
0.05035120513999423,0.07720244886207256
0.052327531327626325,0.07911738720536347
0.05430406192088042,0.08123042662780246
0.05628080468533795,0.08224388607427915
0.058257767392397034,0.08230563837476086
0.06023495781948914,0.08410257854561888
0.06221238375029472,0.08909757724233443
0.0641900529749594,0.09208572218006718
0.0661679732903119,0.09242684405786294
0.06814615250007977,0.09260711922420642
0.07012459841510824,0.09586917647575213
0.07210331885357843,0.09798716560981989
0.07408232164122583,0.09845793995506698
0.07606161461156084,0.0997383451963177
0.07804120560608716,0.10067724763608778
0.0800211024745233,0.10069246012352438
0.08200131307502359,0.10250456518577054
0.08398184527439978,0.10579806977383274
0.08596270694834324,0.10652034703923104
0.08794390598164899,0.10735785841829683
0.08992545026843772,0.10959946068090512
0.09190734771238122,0.11250414207102498
0.09388960622692716,0.11255343629338176
0.09587223373552452,0.11279215672541285
0.09785523817185104,0.12169154396205863
0.09983862748003897,0.12190038636570175
0.10182240961490388,0.12407177531984141
0.1038065925421733,0.12420280599564203
0.1057911842387158,0.1282700669710114
0.10777619269277251,0.12911779235827645
0.10976162590418664,0.1315357980717718
0.11174749188463647,0.131565231774566
0.11373379865786802,0.13308521915302413
0.11572055425992872,0.13496565710699174
0.11770776673940188,0.13654473919644086
0.11969544415764322,0.13972350337089756
0.12168359458901579,0.140675036388922
0.12367222612112845,0.1415146445665962
0.12566134685507416,0.14405408791044746
0.12765096490566888,0.14546055460311813
0.12964108840169333,0.14736270878284194
0.13163172548613258,0.1497082852704694
0.1336228843164198,0.15024635188229993
0.13561457306467956,0.15074595456215836
0.13760679991797198,0.15085758315511685
0.13959957307853993,0.15139795326276062
0.14159290076405398,0.1518573132124337
0.14358679120786175,0.15196621654602396
0.14558125265923663,0.15287082077454314
0.14757629338362835,0.15396005135366758
0.14957192166291422,0.15630849080544457
0.1515681457956531,0.15635240065370187
