,pH2i,pHO,pHMBR
611,8.4,6.2,6.2
612,8.4,6.1,6.1
613,8.2,6.1,6.1
614,8.6,6.1,6.1
615,8.8,6.1,6.1
616,8.6,6.2,6.1
617,8.8,6.2,6.2
618,8.6,6.2,6.2
619,8.6,6.3,6.3
620,8.3,6.2,6.2
621,8.4,6.1,6.1
622,8.5,6.1,6.1
623,8.6,6.1,6.1
624,8.6,6.1,6.1
625,8.4,6.2,6.2
626,8.8,6.2,6.2
627,8.6,6.2,6.2
628,8.8,6.2,6.2
629,8.6,6.2,6.2
630,8.6,6.1,6.1
631,8.5,6.1,6.1
632,8.5,6.2,6.2
633,8.8,6.2,6.2
634,8.7,6.2,6.2
635,8.5,6.2,6.2
636,8.7,6.2,6.2
637,8.6,6.2,6.2
638,8.4,6.3,6.3
639,8.6,6.2,6.2
640,8.7,6.2,6.2
641,8.7,6.3,6.3
642,8.8,6.3,6.3
643,8.7,6.4,6.4
644,8.6,6.4,6.4
645,8.5,6.3,6.3
646,8.2,6.3,6.3
647,8.2,6.3,6.3
648,8.2,6.3,6.3
649,8.1,6.3,6.3
650,8.8,6.3,6.3
651,8.1,6.5,6.5
652,8.3,6.4,6.4
653,8.6,6.4,6.4
654,8.2,6.4,6.4
655,8.2,6.3,6.3
656,8.8,6.3,6.3
657,8.6,6.3,6.3
658,8.7,6.3,6.3
659,8.2,6.4,6.4
660,8.2,6.4,6.4
661,8.1,6.3,6.3
662,8.6,6.4,6.4
663,8.6,6.3,6.3
664,8.8,6.3,6.3
665,8.6,6.3,6.3
666,8.7,6.3,6.3
667,8.6,6.3,6.3
668,8.8,6.3,6.3
669,8.5,6.2,6.2
670,8.8,6.3,6.3
671,8.6,6.4,6.4
672,8.1,6.4,6.4
673,8.3,6.4,6.4
674,8.4,6.4,6.4
675,8.2,6.3,6.3
676,8.3,6.3,6.3
677,8.5,6.5,6.5
678,8.5,6.5,6.8
679,8.5,6.6,6.7
680,8.3,6.7,6.8
681,8.4,6.6,6.3
682,8.5,6.2,6.6
683,8.6,6.4,6.2
684,8.4,6.4,6.3
685,8.5,6.4,6.4
686,8.3,6.4,6.4
687,8.4,6.6,6.6
688,8.5,6.5,6.5
689,8.6,6.5,6.5
690,8.8,6.4,6.4
691,8.7,6.3,6.3
692,8.4,6.5,6.4
693,8.5,6.4,6.4
694,8.3,6.5,6.5
695,8.5,6.6,6.6
