,NH3-N2i,NH3-NO,NH3NMBR
860,364,3.9,2.4
861,401,4.3,2.2
862,368,3.8,2.4
863,355,3.9,2.2
864,1165,6.5,4.9
865,1039,5.4,4.5
866,675,5.8,3.7
867,854,5.4,3.4
868,544,5.2,2.7
869,788,4.6,2.8
870,534,4.2,1.5
871,436,4.1,1.7
872,386,4.3,2
873,402,4.6,2.2
874,367,4.4,2
875,424,4.2,2.1
876,143,4.1,2
877,229,3.3,1.4
878,132,2.8,1.4
879,142,2.6,1.4
880,301,2.5,1.5
881,268,2.8,1.6
882,296,3,1.7
883,235,3.2,1.6
884,247,3.1,1.8
885,270,3.2,1.5
886,312,3.5,1.6
887,320,3.4,1.5
888,290,3.6,1.4
889,275,3.3,1.4
890,258,3.2,1.3
891,237,3.1,1.4
892,247,3.2,1.3
893,225,3,1.1
894,268,2.8,1.2
895,225,2.4,1.1
896,137,2.3,0.5
897,133,3.5,0.5
898,192,3.1,0.5
899,144,3.2,0.5
900,145,2.3,0.4
901,161,2.2,0.4
902,240,2,0.4
903,198,1.8,0.4
904,261,2.1,0.8
905,305,1.9,0.7
906,288,2.2,0.6
907,361,2.3,0.2
908,325,2.7,1.5
909,294,5.4,2.7
910,264,5.6,4.6
911,310,9.5,7.5
912,290,3.9,0.8
913,312,4.3,2.4
914,275,3.4,0.9
915,247,3.2,1.2
916,272,3.4,1.4
917,286,3.2,1
918,287,3.1,1.1
919,272,3.6,1.3
920,212,3.2,1
921,235,3.5,1.2
922,258,3.1,1.4
923,274,3.2,1.3
924,286,3.1,1.2
925,237,2.9,1.3
926,201,2.5,0.8
927,213,2.6,0.7
928,289,2.7,0.7
929,252,2.5,0.8
930,192,2.3,0.6
931,174,2.4,0.7
932,198,2.3,0.5
933,187,2.2,0.8
934,220,2.5,1.3
935,144,2.6,1.3
936,160,2.9,1.5
937,192,3.2,1.6
938,210,3.8,2.9
939,187,3.7,2.4
940,195,3.5,2.2
941,210,3.9,2.5
942,258,5.3,4.5
943,215,4.2,1.7
944,185,5.1,2.5
945,243,4.5,2.1
