,P,DO
683,59.8,5
684,63.2,6.8
685,62.9,8
686,62.5,7.2
687,62.8,7.2
688,62.9,5.2
689,63.4,5.8
690,62.9,6.3
691,62.8,7.4
692,63.5,7.9
693,68.4,8.2
694,63.4,7.6
695,61.6,6.8
696,63,6.7
697,63.2,5.9
698,59.4,5.1
699,58.9,2.9
700,59.3,1.1
701,58.9,2.2
702,62.4,0.6
703,59.8,0.1
704,58.9,3.9
705,58.8,7
706,58.9,2.4
707,58.9,2.3
708,58.9,6.5
709,58.7,7
710,59.3,7.4
711,59.3,7.3
712,59,7.6
713,69.1,6.5
714,65.2,6.9
715,69.1,6.4
716,68,8.2
717,69.5,5.4
718,63.3,7.1
719,63.4,6.9
720,63.3,6.8
721,63.1,5.2
722,60.1,5.1
723,62.9,6.2
724,62.7,6.5
725,65.3,6.7
726,51.7,7
727,38.2,7
728,37,5.6
729,38,7.9
730,39,8.5
731,38.9,8.4
732,36.7,8.6
733,37.5,8.3
734,39.3,8.2
735,39.1,8.4
736,39.8,8.5
737,39.2,8.5
738,40,8.7
739,36.8,8.7
740,36.3,9.2
741,35.9,8.7
742,19.6,8.5
743,17.3,7.2
744,23.2,7.7
745,27,8.7
746,24.8,3.5
747,37.9,3.7
748,37.2,8.8
749,31.3,9
750,38.5,8.9
751,36.3,4
752,30.5,1.8
753,16.6,7.9
754,37.5,8.9
755,38,9.1
756,38.4,9.1
757,38.4,9.3
758,39.2,9.2
759,35.4,8.3
760,20.1,5
761,38.7,5.5
762,39,3.1
763,30.8,5.6
764,23.2,5.2
765,36.3,4.9
766,35.3,2.5
767,31,5.7
768,38.6,5.7
769,36.3,2.9
770,36.8,0
771,35,0
772,36.6,3.4
773,33.1,6.8
774,38.1,6.3
775,38.1,6.9
776,37.9,8
777,38.1,8
778,38,6.2
779,38,6.9
780,33.1,6.6
781,38.1,5.6
782,38.4,4.4
783,24.2,3.8
784,24,1.9
785,23.7,1.7
786,22.7,6
787,27.9,6.5
788,15.9,4.4
789,39.1,5.7
790,37.8,6
791,16.5,6.4
792,18.5,5.1
793,26.8,3.5
794,16.6,4.4
795,17.5,1.2
796,19.7,0
797,21.3,1.9
798,20.1,0
799,20.1,3.3
800,22.2,4.4
801,21.6,4.4
802,21.4,6.1
803,20,3.3
804,18.1,3
805,29.5,4.2
806,25.7,4.7
807,31.2,3.4
808,17.2,2.6
809,22.4,2.9
810,18.3,2.4
811,17.8,2.6
812,16.6,3.1
813,22.2,3.1
814,18.8,1
815,17.7,0.8
816,17.2,1.9
817,17.2,1.5
818,17.9,0.4
819,17.1,0.6
820,17.7,0.3
821,19.2,0.1
822,20.6,0
823,20.8,0
824,19.6,0
825,19.6,0
826,19.5,0
827,18.7,3.1
828,18.7,4.1
829,18.8,5.7
830,19.2,5
831,19.7,3.9
832,20.1,2
833,19.3,1.2
834,19.1,0.8
835,18.8,1.3
836,18.4,2
837,19,1.7
838,20,2
839,20.3,1
840,20.2,1.8
841,20.1,1.1
842,20.2,1.4
843,21.1,1.9
844,19.5,1.1
845,19.6,1.9
846,20.8,2.3
847,21.3,1.7
848,21.5,2.2
849,21.1,3.2
850,20.5,2.9
851,20.3,2.9
852,19.9,3.5
853,18.9,3.3
854,18.8,2.5
855,18.2,1.6
856,17.5,3.9
857,18.2,5
858,15.3,6.3
859,24.1,6.4
860,27.6,6.4
861,31.9,7
862,33.8,3.9
863,22.9,4.7
864,18.7,5.8
865,18.3,6.8
866,18.2,7.5
867,18.4,7.5
868,19.4,7.3
869,19.2,8
870,18.9,7.2
871,20.3,7.2
872,19.7,7.1
873,19.2,7.6
874,19,8.3
875,18.9,8
876,19.2,7.9
877,20.2,7.7
878,19.8,7.8
879,19.6,7.6
880,20,7.4
881,19.2,7.8
882,20.3,7.6
883,19.2,8.1
884,18.4,8.1
885,21.8,8.3
886,30.7,7.1
887,33.5,6.3
888,34.3,6.6
889,28.7,6.5
890,19.2,8.2
891,19.2,5.7
892,20.8,6.7
893,20.8,7.3
894,18.6,7.3
895,17.8,6.6
896,17.2,7.3
897,18.5,7.5
898,16.4,7.2
899,15.9,7.2
900,18.5,7.2
901,19.2,7
902,17.9,6.2
903,16,4.9
904,16.6,3.5
905,16.4,2.5
906,17.7,4.1
