Date,observed,seasonal,resid
2022/1/14,574,-8.493145268,35.79115199
2022/1/15,545,-7.404439663,1.679876043
2022/1/16,569,21.093485,-5.972855681
2022/1/17,541,-7.293159457,-8.2384742
2022/1/18,580,7.042977312,16.21595639
2022/1/19,601,-21.93459085,67.21506898
2022/1/20,586,14.21652336,17.92302288
2022/1/21,611,-4.303734423,63.40968984
2022/1/22,577,-4.956668817,31.70854675
2022/1/23,564,15.8034137,0.460408386
2022/1/24,556,-2.913929717,16.95813808
2022/1/25,536,5.494215435,-3.726709521
2022/1/26,499,-26.66320277,-1.029291099
2022/1/27,521,12.11283484,-10.96206816
2022/1/28,515,2.14654543,-0.830137348
2022/1/29,502,-2.186204522,-3.957773053
2022/1/30,512,14.39289851,-5.64803558
2022/1/31,503,0.96130718,3.179506344
2022/2/1,490,-3.989341,-0.578950591
2022/2/2,472,-20.8997184,3.054905245
2022/2/3,498,5.5834696,8.169700132
2022/2/4,485,3.829205751,3.572177936
2022/2/5,477,1.141340118,5.670303049
2022/2/6,485,13.6169158,8.792282473
2022/2/7,451,1.368117019,-5.365521885
2022/2/8,421,-7.639438339,-18.69412919
2022/2/9,419,-13.77939728,-7.149271029
2022/2/10,429,-0.423424902,-3.872425204
2022/2/11,431,1.602019815,1.582096036
2022/2/12,424,3.293772435,-2.921599282
2022/2/13,428,15.65509612,-8.002624905
2022/2/14,419,3.354817036,-1.718715202
2022/2/15,412,-8.063166046,5.654394291
2022/2/16,410,-8.939511687,7.576754936
2022/2/17,402,-5.163753432,0.223667128
2022/2/18,399,-1.676721777,0.085363806
2022/2/19,406,0.703269319,11.74903487
2022/2/20,359,14.26323476,-41.76625916
2022/2/21,346,4.818706423,-38.60990427
2022/2/22,355,-2.711673696,-16.07205662
2022/2/23,364,-5.283224555,1.018433625
2022/2/24,340,-6.617009601,-16.43474393
2022/2/25,347,-3.738155692,-9.609600153
2022/2/26,350,-1.912244865,-8.353773909
2022/2/27,387,10.59738509,15.9374248
2022/2/28,375,4.907814453,9.712723252
2022/3/1,367,3.576609872,3.382882132
2022/3/2,351,-3.303026614,-4.994791688
2022/3/3,361,-7.705197304,10.73357006
2022/3/4,354,-4.612487649,2.315263493
2022/3/5,345,-3.917787362,-5.691437361
2022/3/6,353,8.306949877,-8.595407722
2022/3/7,345,3.914825451,-11.31087162
2022/3/8,366,6.936082601,7.298843234
2022/3/9,352,-1.779942089,2.28705473
2022/3/10,341,-6.358592464,-4.333816298
2022/3/11,351,-2.037484257,1.084135961
2022/3/12,364,-4.707686203,16.86003705
2022/3/13,349,4.777345824,-6.888909408
2022/3/14,353,-0.132402637,3.358752207
2022/3/15,360,3.832293966,7.81459847
2022/3/16,346,2.001846164,-3.025126587
2022/3/17,339,-7.327005203,0.543310905
2022/3/18,325,3.038077444,-22.98181828
2022/3/19,334,-2.570644646,-8.102608471
2022/3/20,351,5.743697794,0.443023786
2022/3/21,342,-0.629593608,-2.943288757
2022/3/22,338,-5.126758265,-4.046936797
2022/3/23,356,5.877079949,0.858647027
2022/3/24,346,-10.14710795,4.797192411
2022/3/25,362,6.383403965,2.500697975
2022/3/26,351,-2.007682663,-1.584023371
2022/3/27,374,7.210139141,10.48220935
2022/3/28,354,1.574896904,-5.908844791
2022/3/29,344,-10.02837719,-6.089628536
2022/3/30,323,5.478537449,-44.19434286
2022/3/31,346,-10.50726905,-6.862996933
2022/4/1,385,6.969056985,12.74419547
