Date,CODMBR,rolling_median,raw_signed_dev
2022/1/7,498,-3,-11
2022/1/8,509,-6,-3
2022/1/9,556,-6,11
2022/1/10,602,-6,57
2022/1/11,622,-3,66
2022/1/12,588,0,25
2022/1/13,563,3,-6
2022/1/14,574,6,0
2022/1/15,545,11,-32
2022/1/16,569,11,-8
2022/1/17,541,15,-36
2022/1/18,580,8,6
2022/1/19,601,6,32
2022/1/20,586,6,22
2022/1/21,611,6,47
2022/1/22,577,6,21
2022/1/23,564,6,8
2022/1/24,556,6,15
2022/1/25,536,6,0
2022/1/26,499,6,-22
2022/1/27,521,6,6
2022/1/28,515,4,3
2022/1/29,502,3,-1
2022/1/30,512,3,10
2022/1/31,503,0,4
2022/2/1,490,0,-8
2022/2/2,472,0,-18
2022/2/3,498,0,13
2022/2/4,485,0,0
2022/2/5,477,0,0
2022/2/6,485,1,13
2022/2/7,451,0,0
2022/2/8,421,0,-10
2022/2/9,419,0,-10
2022/2/10,429,0,1
2022/2/11,431,0,7
2022/2/12,424,0,3
2022/2/13,428,0,9
2022/2/14,419,0,0
2022/2/15,412,0,0
2022/2/16,410,0,0
2022/2/17,402,0,-4
2022/2/18,399,0,-3
2022/2/19,406,-3,7
2022/2/20,359,-3,-28
2022/2/21,346,-3,-29
2022/2/22,355,-3,-12
2022/2/23,364,-3,0
2022/2/24,340,-3,-21
2022/2/25,347,-2,-12
2022/2/26,350,-2,-5
2022/2/27,387,-2,33
2022/2/28,375,-2,22
2022/3/1,367,0,13
2022/3/2,351,0,-2
2022/3/3,361,0,9
2022/3/4,354,0,2
2022/3/5,345,0,-8
2022/3/6,353,0,0
2022/3/7,345,0,-8
2022/3/8,366,0,13
2022/3/9,352,0,0
2022/3/10,341,0,-11
2022/3/11,351,0,0
2022/3/12,364,-2,15
2022/3/13,349,0,-2
2022/3/14,353,-2,4
2022/3/15,360,-2,11
2022/3/16,346,-2,-3
2022/3/17,339,-2,-7
2022/3/18,325,0,-24
2022/3/19,334,0,-15
2022/3/20,351,0,2
2022/3/21,342,0,-9
2022/3/22,338,0,-8
2022/3/23,356,-3,10
2022/3/24,346,-7,0
2022/3/25,362,0,16
2022/3/26,351,0,0
2022/3/27,374,0,23
2022/3/28,354,0,0
2022/3/29,344,1,-12
2022/3/30,323,1,-33
2022/3/31,346,0,-8
2022/4/1,385,1,23
2022/4/2,374,0,18
2022/4/3,366,1,1
2022/4/4,378,1,17
2022/4/5,389,1,28
2022/4/6,331,4,-30
2022/4/7,315,4,-46
2022/4/8,365,4,4
2022/4/9,356,4,-5
2022/4/10,370,4,14
2022/4/11,361,4,7
2022/4/12,344,-2,-2
2022/4/13,354,-5,10
2022/4/14,339,-2,-5
2022/4/15,328,4,-18
2022/4/16,385,-2,41
2022/4/17,346,0,5
2022/4/18,334,-2,-5
2022/4/19,317,-5,-17
2022/4/20,321,-5,-7
2022/4/21,341,-5,17
2022/4/22,366,-7,45
2022/4/23,313,-5,-8
2022/4/24,320,-5,0
2022/4/25,298,-7,-19
2022/4/26,305,-7,-10
2022/4/27,324,-7,11
2022/4/28,303,0,-10
2022/4/29,298,0,-7
2022/4/30,338,0,33
2022/5/1,315,0,11
2022/5/2,295,0,-8
2022/5/3,287,0,-16
2022/5/4,301,0,0
2022/5/5,317,0,19
2022/5/6,304,0,9
2022/5/7,314,0,20
2022/5/8,287,0,0
2022/5/9,278,0,-9
2022/5/10,286,0,0
2022/5/11,276,0,-9
2022/5/12,282,0,0
2022/5/13,269,0,-9
2022/5/14,294,0,18
2022/5/15,285,0,16
2022/5/16,256,-1,0
2022/5/17,232,-1,-17
2022/5/18,222,-1,-27
2022/5/19,246,0,-2
2022/5/20,249,0,1
2022/5/21,235,1,-11
2022/5/22,248,1,13
2022/5/23,234,0,-1
2022/5/24,210,1,-24
2022/5/25,267,1,33
2022/5/26,235,1,1
2022/5/27,249,1,22
2022/5/28,227,1,12
2022/5/29,215,5,5
2022/5/30,163,5,-41
2022/5/31,204,8,10
2022/6/1,152,10,-33
2022/6/2,150,10,-28
2022/6/3,155,10,-17
2022/6/4,178,8,12
2022/6/5,185,5,22
2022/6/6,194,-3,31
2022/6/7,163,8,8
2022/6/8,166,8,11
2022/6/9,172,8,17
2022/6/10,124,11,-31
2022/6/11,150,11,-3
2022/6/12,126,8,-26
2022/6/13,138,0,-12
2022/6/14,153,-1,13
2022/6/15,159,-1,19
2022/6/16,140,-1,0
2022/6/17,152,-3,14
2022/6/18,103,-1,-35
2022/6/19,124,-1,-12
2022/6/20,128,0,-10
2022/6/21,135,0,-1
2022/6/22,143,-1,8
2022/6/23,145,-1,10
2022/6/24,122,-5,-8
2022/6/25,136,-5,6
2022/6/26,124,-1,-11
2022/6/27,145,-1,10
2022/6/28,121,0,-14
2022/6/29,130,0,-5
2022/6/30,141,-5,7
2022/7/1,126,-5,-8
2022/7/2,143,-5,9
2022/7/3,139,-5,5
2022/7/4,121,0,-14
2022/7/5,135,0,0
2022/7/6,126,0,-13
2022/7/7,134,0,-7
2022/7/8,141,0,0
2022/7/9,125,0,-18
2022/7/10,143,0,0
2022/7/11,161,0,16
2022/7/12,150,0,0
2022/7/13,162,0,12
2022/7/14,168,0,16
2022/7/15,171,0,19
2022/7/16,163,0,5
2022/7/17,145,0,-13
2022/7/18,152,5,-9
2022/7/19,158,5,-4
2022/7/20,150,10,-13
2022/7/21,178,5,15
2022/7/22,147,2,-11
2022/7/23,158,0,0
2022/7/24,166,-2,14
2022/7/25,175,0,18
2022/7/26,167,0,10
2022/7/27,188,0,37
2022/7/28,149,0,-2
2022/7/29,151,0,2
2022/7/30,132,0,-19
2022/7/31,145,1,-4
2022/8/1,157,0,11
2022/8/2,143,0,-3
2022/8/3,140,0,-6
2022/8/4,146,-1,0
2022/8/5,145,0,-1
2022/8/6,153,-1,8
2022/8/7,146,-1,1
2022/8/8,142,-1,-3
2022/8/9,152,-3,9
2022/8/10,161,-3,19
2022/8/11,136,-1,-6
2022/8/12,196,-3,60
2022/8/13,117,-6,-8
2022/8/14,113,-6,-8
2022/8/15,107,-6,-14
2022/8/16,111,-6,-10
2022/8/17,108,-6,-13
2022/8/18,125,-6,4
2022/8/19,78,4,-39
2022/8/20,103,-1,-10
2022/8/21,121,4,10
2022/8/22,139,4,28
2022/8/23,126,4,15
2022/8/24,134,4,26
2022/8/25,138,4,31
2022/8/26,107,1,4
2022/8/27,102,1,-1
2022/8/28,111,1,8
2022/8/29,71,-1,-31
2022/8/30,93,-1,-9
2022/8/31,87,-1,-15
2022/9/1,98,-1,-4
2022/9/2,103,-1,1
2022/9/3,95,-1,-7
2022/9/4,102,0,-1
2022/9/5,92,0,-11
2022/9/6,131,1,19
2022/9/7,146,1,34
2022/9/8,112,1,0
2022/9/9,135,1,23
2022/9/10,128,0,16
2022/9/11,119,6,7
2022/9/12,126,6,14
2022/9/13,118,6,6
2022/9/14,89,6,-13
2022/9/15,70,2,-28
2022/9/16,81,2,-13
2022/9/17,92,0,0
2022/9/18,102,-1,10
2022/9/19,94,-1,2
2022/9/20,98,-1,6
2022/9/21,82,-1,-10
2022/9/22,71,0,-23
2022/9/23,75,2,-22
2022/9/24,89,6,-9
2022/9/25,97,6,-1
2022/9/26,106,2,9
2022/9/27,131,6,33
2022/9/28,107,-1,10
2022/9/29,159,0,62
2022/9/30,157,8,55
2022/10/1,162,8,60
2022/10/2,78,8,-24
2022/10/3,95,8,-7
2022/10/4,103,0,8
2022/10/5,83,0,-12
2022/10/6,94,0,0
2022/10/7,102,-4,8
2022/10/8,73,-4,-21
2022/10/9,94,-4,0
2022/10/10,77,0,-17
2022/10/11,85,0,-4
2022/10/12,98,0,9
2022/10/13,84,0,-10
2022/10/14,75,4,-19
2022/10/15,121,0,32
2022/10/16,105,0,16
2022/10/17,89,-4,4
2022/10/18,77,-4,-8
